Dhat,inCI,Layout,GType
12.32151339,TRUE,transect,HalfNorm
11.55949215,FALSE,structured,Empirical
10.65774734,FALSE,random,Empirical
12.58746024,FALSE,transect,Empirical
9.556159952,FALSE,structured,HalfNorm
13.04249938,TRUE,random,HalfNorm
20.26201031,TRUE,transect,HalfNorm
9.130018677,FALSE,structured,Empirical
10.90164377,FALSE,random,Empirical
17.55787748,TRUE,transect,Empirical
15.56109491,TRUE,structured,HalfNorm
19.67012108,TRUE,random,HalfNorm
19.66540718,TRUE,transect,HalfNorm
16.34333345,TRUE,structured,Empirical
16.43831051,TRUE,random,Empirical
15.75759884,TRUE,transect,Empirical
23.39393657,TRUE,structured,HalfNorm
6.432385636,FALSE,random,HalfNorm
17.12197957,TRUE,transect,HalfNorm
15.69631102,TRUE,structured,Empirical
10.97755351,FALSE,random,Empirical
13.64795093,TRUE,transect,Empirical
